name,icon,claimed
Timeout a alguien del chat (¡tú eliges!),timer-off,false
Rol personalizado en Discord,tag,false
Doodle customizado para ti,brush,false
Modelo Fumo personalizado (digital),user-pen,false
Carta escrita a mano digital o en físico,scroll-text,false
¡Jugamos juntos una partida!,gamepad-2,false
Casilla vacía (¡Suerte la próxima!),frown,false
Audio personalizado,cassette-tape,false
Alarma personalizada,bell-ring,false
Dibujito chibi personalizado,brush,false
Video corto personalizado,clapperboard,false
Tweet a tu elección,twitter,false
Puedes elegir la miniatura o título de un stream,images,false
?,circle-help,false
?,circle-help,false
?,circle-help,false
?,circle-help,false
?,circle-help,false
?,circle-help,false
?,circle-help,false
?,circle-help,false
